1,2.492,4.403
2,2.164,2.935
3,2.164,2.935
4,23.186,37.994
5,2.503,4.696
6,2.164,2.935
7,8.984,13.208
8,6.82,10.273
9,2.164,2.935
10,2.492,4.403
11,2.164,2.935
12,2.164,2.935
13,9.176,13.698
14,23.804,32.285
15,2.164,2.935
16,2.424,3.914
17,2.164,2.935
18,4.328,5.87
19,2.164,2.935
20,311.816,538.971
21,8.479,14.396
22,2.424,3.914
23,24.324,34.243
24,8.656,11.74
25,118.273,199.703
26,2.164,2.935
27,58.889,96.524
28,2.164,2.935
29,9.559,18.031
30,9.609,17.751
31,7.471,14.424
32,208.868,370.861
33,2.424,3.914
34,20.064,28.862
35,17.572,24.459
36,2.164,2.935
37,204.095,360.712
38,2.492,4.403
39,204.678,358.718
40,4.328,5.87
41,34.156,50.877
42,16.051,26.057
43,4.328,5.87
44,6.82,10.273
45,2.164,2.935
46,13.654,24.802
47,2.164,2.935
48,10.82,14.675
49,6.492,8.805
50,222.57,395.104
51,71.204,101.751
52,2.164,2.935
53,2.164,2.935
54,100.547,173.538
55,2.164,2.935
56,292.843,614.835
57,2.164,2.935
58,208.792,368.754
59,2.424,3.914
60,4.328,5.87
61,11.148,16.143
62,6.492,8.805
63,2.164,2.935
64,4.328,5.87
65,288.428,582.627
66,2.164,2.935
67,19.996,28.373
68,4.328,5.87
69,4.588,6.849
70,2.164,2.935
71,12.984,17.61
72,106.622,171.99
73,6.831,10.566
74,2.164,2.935
75,15.668,22.503
76,49.315,81.446
77,41.366,65.252
78,11.72,19.512
79,4.328,5.87
80,2.164,2.935
81,2.164,2.935
82,6.492,8.805
83,11.6,17.612
84,117.174,184.713
85,49.833,75.238
86,2.424,3.914
87,81.645,136.083
88,5.836,11.59
89,2.164,2.935
90,2.492,4.403
91,4.588,6.849
92,2.424,3.914
93,9.255,14.48
94,18.431,28.178
95,95.005,158.585
96,29.933,49.228
97,22.42,32.287
98,15.408,21.524
99,52.785,83.695
100,41.115,67.665
101,11.679,18.394
102,2.424,3.914
103,2.164,2.935
104,22.475,34.373
105,9.244,14.187
106,181.707,313.853
107,2.164,2.935
108,52.629,88.425
109,2.164,2.935
110,8.656,11.74
111,4.328,5.87
112,4.328,5.87
113,18.594,30.862
114,4.588,6.849
115,22.94,34.245
116,2.424,3.914
117,15.408,21.524
118,283.053,553.77
119,175.038,274.76
120,215.036,400.264
121,8.807,15.864
122,4.984,8.806
123,46.071,72.526
124,19.815,28.176
125,2.164,2.935
126,9.176,13.698
127,4.588,6.849
128,82.254,179.649
129,2.424,3.914
130,2.164,2.935
131,2.164,2.935
132,265.93,507.035
133,7.056,12.556
134,2.164,2.935
135,84.099,132.066
136,2.164,2.935
137,4.926,9.54
138,64.78,93.435
139,34.864,59.055
140,7.419,13.013
141,13.545,20.686
142,81.765,141.36
143,31.896,51.756
144,52.802,100.893
145,37.857,69.917
146,81.614,132.46
147,38.834,58.801
148,2.164,2.935
149,239.065,731.278
150,2.164,2.935
151,170.801,309.692
152,2.503,4.696
153,4.98,9.784
154,4.848,7.828
155,2.424,3.914
156,2.164,2.935
157,92.52,155.1
158,11.08,15.654
159,105.115,172.681
160,2.164,2.935
161,2.164,2.935
162,108.246,176.521
163,2.164,2.935
164,4.328,5.87
165,8.916,12.719
166,13.57,20.546
167,22.825,35.026
168,4.328,5.87
169,11.668,18.101
170,28.588,53.271
171,253.177,481.324
172,2.164,2.935
173,213.226,378.821
174,115.13,179.577
175,43.656,67.021
176,22.16,31.308
177,2.164,2.935
178,2.164,2.935
179,2.164,2.935
180,2.164,2.935
181,2.164,2.935
